index,lpToken,allocPoint,isRegular,token0,token0_name,token1,token1_name,volume_24h,lp_reward_fee_24h,TVL,Farm_Liquidity,average_daily_liquidity_of_pool_in_$,average_daily_trading_volume_of_pool_in_$,exchange_fee%,1000000.0_daily_basic_earning_in_$,1000000.0_daily_basic_earning_in_BPS,total_liquidity_pool_size_in_$,1000000.0_daily_mining_reward_in_BPS,1000000.0_daily_mining_reward_in_$,token_zero_delta_exchange,token_zero_delta_hedge_type,token_zero_delta_base_currency,token_zero_delta_symbol,token_zero_delta_bid_price,token_zero_delta_timestamp,token_zero_delta_funding_rate,token_zero_delta_next_funding_rate_time,token_zero_delta_fee_rate,1000000.0_token_zero_delta_hedge_min_fees,token_one_delta_exchange,token_one_delta_hedge_type,token_one_delta_base_currency,token_one_delta_symbol,token_one_delta_bid_price,token_one_delta_timestamp,token_one_delta_funding_rate,token_one_delta_next_funding_rate_time,token_one_delta_fee_rate,1000000.0_token_one_delta_hedge_min_fees,1000000.0_base_hedging_costs_in_$,1000000.0_impermanent_loss_in_amount_to_short,1000000.0_impermanent_loss_downside_covered
46.0,0xba01662E978DE7d67F8FfC937726215eb8995d17,10.0,1.0,0x5A3010d4d8D3B5fB49f8B6E57FB9E48063f16700,BSCPAD,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,174.29K,295.71,1436252.03K,203829.14K,1459560.72K,184.29K,0.17,0.21,0.0,207535.83K,0.01,1.08,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
47.0,0xA39Af17CE4a8eb807E076805Da1e2B8EA7D0755b,200.0,1.0,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0x55d398326f99059fF775485246999027B3197955,USDT,1590.0K,2.7K,6406.08K,5939.19K,6385.83K,1671.43K,0.17,364.95,3.65,5918.46K,6.52,651.57,FTX,Perpetual,CAKE,CAKE-PERP,3.0525,1970-01-19 19:58:37,-3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-436622.409072961,-0.5306269354829641
48.0,0xEc6557348085Aa57C72514D67070dC863C0a5A8c,100.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,2225.71K,3.78K,85382.5K,74564.59K,85358.21K,2252.14K,0.17,43.81,0.44,74228.66K,0.3,29.96,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
49.0,0x89EBF9cD99864f6E51bd7a578965922029cAB977,0.0,1.0,0x758FB037A375F17c7e195CC634D77dA4F554255B,DVI,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,19.24K,32.71,1555.85K,116.51K,1532.55K,19.76K,0.17,12.8,0.13,114.77K,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
50.0,0x9D2296e2Fe3CdBf2EB3e3e2CA8811BaFA42eeDFF,10.0,1.0,0x03fF0ff224f904be3118461335064bB48Df47938,ONE,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,75.79K,128.84,608.35K,470.01K,605.3K,37.89K,0.17,80.11,0.8,467.68K,1.54,153.57,FTX,Perpetual,ONE,ONE-PERP,0.02615,1970-01-19 19:58:37,-1e-05,2022-06-22 16:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
51.0,0x1472976E0B97F5B2fC93f1FFF14e2b5C4447b64F,10.0,1.0,0x20de22029ab63cf9A7Cf5fEB2b737Ca1eE4c82A6,CHESS,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,138.82K,235.71,951.49K,836.2K,981.87K,143.69K,0.17,120.79,1.21,862.94K,1.21,121.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-111012.63886829483,-0.4924273067967097
52.0,0xC2d00De94795e60FB76Bc37d899170996cBdA436,50.0,1.0,0x715D400F88C167884bbCc41C5FeA407ed4D2f8A0,AXS,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,150.0K,254.29,1656.65K,1565.63K,1644.42K,152.14K,0.17,95.72,0.96,1554.05K,4.41,441.26,FTX,Perpetual,AXS,AXS-PERP,14.177,1970-01-19 19:58:37,-3.6e-05,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
53.0,0x92247860A03F48d5c6425c7CA35CDcFCB1013AA1,50.0,1.0,0xaEC945e04baF28b135Fa7c640f624f8D90F1C3a6,C98,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,294.29K,500.0,2233.86K,1461.29K,2121.83K,147.14K,0.17,154.61,1.55,1331.27K,4.85,485.05,FTX,Perpetual,C98,C98-PERP,0.5251,1970-01-19 19:58:37,-7.1e-05,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
54.0,0xFdFde3aF740A22648B9dD66D05698e5095940850,10.0,1.0,0x1633b7157e7638C4d6593436111Bf125Ee74703F,SPS,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,2119.86K,300.87K,2112.59K,65.95K,0.17,154.61,1.55,299.84K,1.73,173.4,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
55.0,0x6a445cEB72c8B1751755386c3990055ff92e14A0,10.0,1.0,0xaeF0d72a118ce24feE3cD1d43d383897D05B4e99,WIN,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,245.71K,417.14,2396.25K,2355.06K,2373.42K,268.57K,0.17,122.82,1.23,2332.63K,0.68,67.64,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-107896.57748601165,-0.4830457628541974
56.0,0xb5D108578Be3750209d1b3A8f45FFee8C5a75146,50.0,1.0,0x85EAC5Ac2F758618dFa09bDbe0cf174e7d574D5B,TRX,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,3027.14K,5.15K,17193.41K,17041.51K,17336.44K,3563.57K,0.17,282.83,2.83,17183.62K,0.62,61.98,FTX,Perpetual,TRX,TRX-PERP,0.06341,1970-01-19 19:58:37,-3.7e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-51863.19365752318,-0.22448962679522408
57.0,0x59FaC9e98479fc9979aE2a0C7422Af50bCBB9B26,0.0,1.0,0x07663837218A003e66310a01596af4bf4e44623D,rUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,32.34K,54.97,350.15K,33.59K,350.41K,36.7K,0.17,40.72,0.41,33.61K,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
58.0,0x2bF2dEB40639201C9A94c9e33b4852D9AEa5fd2D,10.0,1.0,0xACB8f52DC63BB752a51186D1c55868ADbFfEe9C1,BP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,19.68K,33.45,274.71K,169.44K,291.43K,22.67K,0.17,26.24,0.26,179.73K,1.91,191.06,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
59.0,0x74fA517715C4ec65EF01d55ad5335f90dce7CC87,10.0,1.0,0x477bC8d23c634C154061869478bce96BE6045D12,SFUND,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,126.92K,215.71,7425.47K,275.78K,7488.88K,130.67K,0.17,25.6,0.26,278.45K,1.76,176.3,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
60.0,0x0ecc84c9629317a494f12Bc56aA2522475bF32e8,0.0,1.0,0x1fC9004eC7E5722891f5f38baE7678efCB11d34D,NFT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,9.38K,15.94,183.2K,173.12K,184.28K,9.97K,0.17,13.48,0.13,174.14K,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
61.0,0x88a02D94F437799f06f8c256ff07Aa397E6D0016,10.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xBe1a001FE942f96Eea22bA08783140B9Dcc09D28,BETA,107.19K,182.86,859.25K,642.44K,865.81K,107.77K,0.17,98.35,0.98,647.33K,1.37,136.82,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
62.0,0x11c0b2BB4fbB430825d07507A9E24e4c32f7704D,10.0,1.0,0x77d547256A2cD95F32F67aE0313E450Ac200648d,LAZIO,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,28.46K,48.37,0.0,0.0,0.0,28.53K,0.17,48.37,0.48,0.0,2.25,225.39,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
63.0,0x365c3F921b2915a480308D0b1C04aEF7B99c2876,0.0,1.0,0x7Ceb519718A80Dd78a8545AD8e7f401dE4f2faA7,DKT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,123.94K,38.92K,123.41K,4.44K,0.17,48.37,0.48,38.86K,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
64.0,0x6dB23b5360c9D2859fDcbf41c56494e7b8573649,10.0,1.0,0x426c72701833fdDBdFc06c944737C6031645c708,FINA,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,89.6K,152.86,292.65K,85.45K,289.02K,92.91K,0.17,118.25,1.18,84.45K,2.08,207.84,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
65.0,0x062f88E2B4896e823ac78Ac314468c29eEC4186d,50.0,1.0,0x23CE9e926048273eF83be0A3A8Ba9Cb6D45cd978,DAR,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,155.71K,265.71,2076.2K,1718.52K,2065.04K,172.14K,0.17,86.38,0.86,1709.3K,4.16,415.97,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
66.0,0x936928146a21AfCcd30DfA84824A780572B1630B,50.0,1.0,0x6b23C89196DeB721e6Fd9726E6C76E4810a464bc,XWG,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,400.0K,680.0,713.74K,509.44K,722.14K,398.57K,0.17,396.79,3.97,515.26K,7.44,743.72,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
67.0,0x0A292e96ABb35297786a38fDD67Dc4f82689E670,10.0,1.0,0x49f2145d6366099e13B10FbF80646C0F377eE7f6,PORTO,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,22.76K,38.69,272.54K,244.73K,274.77K,22.95K,0.17,30.4,0.3,246.66K,1.81,180.79,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
68.0,0xf924E642f05ACC57fc3b14990c2B1a137683b201,0.0,1.0,0x8729438EB15e2C8B576fCc6AeCdA6A148776C0F5,QI,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,6.73K,11.44,70.29K,27.74K,70.57K,7.36K,0.17,10.69,0.11,28.05K,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
69.0,0x06043B346450BbCfdE066ebc39fdc264FdFFeD74,10.0,1.0,0xA64455a4553C9034236734FadDAddbb64aCE4Cc7,SANTOS,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,84.48K,144.29,583.31K,465.08K,551.36K,82.7K,0.17,91.13,0.91,439.53K,1.57,156.63,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
70.0,0x71E6de81381eFE0Aa98f56b3B43eB3727D640715,10.0,1.0,0x0b15Ddf19D47E6a86A56148fb4aFFFc6929BcB89,IDIA,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,93.91K,160.0,3546.98K,1765.06K,3501.22K,103.33K,0.17,35.19,0.35,1746.53K,0.82,82.07,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
71.0,0x486697ae24469cB1122F537924Aa46E705B142Aa,10.0,1.0,0x9fD87aEfe02441B123c3c32466cD9dB4c578618f,THG,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,64.2K,109.14,526.85K,233.76K,531.48K,65.42K,0.17,71.48,0.71,235.78K,1.82,182.38,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
72.0,0x141e9558f66Cc21c93628400cCa7d830c15c2c24,0.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xE69cAef10A488D7AF31Da46c89154d025546e990,DPT,0.0,0.0,36.71K,8.95K,37.03K,91.43,0.17,71.48,0.71,9.05K,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
73.0,0xe98ac95A1dB2fCaaa9c7D4ba7ecfCE4877ca2bEa,10.0,1.0,0x5f4Bde007Dc06b867f86EBFE4802e34A1fFEEd63,HIGH,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,170.0K,288.57,1155.6K,550.73K,1144.44K,176.43K,0.17,133.87,1.34,545.38K,1.46,145.85,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-209934.08933902235,-0.6555152913077896
74.0,0x2AE94A6C768D59f5DDc25bd7f12C7cBE1D51dc04,10.0,1.0,0x8b303d5BbfBbf46F1a4d9741E491e06986894e18,WOOP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,247.14K,418.57,9525228.39K,1396024.45K,9465760.8K,256.43K,0.17,0.04,0.0,1387127.83K,0.0,0.16,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
75.0,0x88c9bf5E334e2591C6A866D5E20683E31226Be3d,10.0,1.0,0x40C8225329Bd3e28A043B029E0D07a5344d2C27C,AOG,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,0.0,0.0,520.75K,261.69K,525.86K,60.37K,0.17,0.04,0.0,264.29K,1.78,178.27,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
76.0,0x2Eebe0C34da9ba65521E98CBaA7D97496d05f489,10.0,1.0,0x00e1656e45f18ec6747F5a8496Fd39B50b38396D,BCOIN,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,70.84K,120.42,329.95K,160.67K,328.93K,69.43K,0.17,90.55,0.91,160.24K,1.94,194.26,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
77.0,0xa0Ee789a8F581CB92dD9742ed0B5d54a0916976C,10.0,1.0,0x78F5d389F5CDCcFc41594aBaB4B0Ed02F31398b3,APX,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,0.0,0.0,6101.36K,354.04K,6119.85K,33.54K,0.17,90.55,0.91,355.02K,1.66,166.34,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
78.0,0x1Ce76390Dd210B9C9ae28373FDf79714206ECb73,100.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xe369fec23380f9F14ffD07a1DC4b7c1a9fdD81c9,Froyo,51.65K,87.8,915.88K,894.34K,923.87K,53.02K,0.17,45.83,0.46,902.03K,11.85,1.18K,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
79.0,0x6483F166b9E4310A165a55FEa04F867499aded06,0.0,1.0,0x5857c96DaE9cF8511B08Cb07f85753C472D36Ea3,FUSE,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,24.51K,41.66,558151.39K,217086.9K,567768.76K,24.88K,0.17,0.07,0.0,220827.47K,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
80.0,0x70531B39E2Bb4d8dA59E2Ce41a98eBA2990F8497,0.0,1.0,0x62823659d09F9F9D2222058878f89437425eB261,ERTHA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,39.51K,67.17,95.8K,57.45K,98.81K,19.76K,0.17,61.3,0.61,59.26K,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
81.0,0x8e744Ec2795c8B836689d1b4EBE1489204357dAC,50.0,1.0,0x12BB890508c125661E03b09EC06E404bc9289040,RACA,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,1228.57K,2.09K,5538.97K,883.98K,5621.44K,1290.71K,0.17,319.19,3.19,904.84K,5.92,591.66,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
82.0,0x28BDb16b623176426305a70D8B475bE73Aca71f3,0.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xBc7d6B50616989655AfD682fb42743507003056D,ACH,68.44K,116.35,0.0,0.0,0.0,34.22K,0.17,116.35,1.16,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-74005.74494390067,-0.4071151960344676
83.0,0xB7E73DaEe6A6Ca37A21f8E4bfba4DA448DFE4d92,50.0,1.0,0x352Cb5E19b12FC216548a2677bD0fce83BaE434B,BTT,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,835.71K,1.42K,24455.46K,24438.93K,24375.72K,912.86K,0.17,55.78,0.56,24359.43K,0.44,44.44,FTX,Perpetual,BTT,BTT-PERP,7.8e-07,1970-01-19 19:58:37,-8.7e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-15389.85751395727,-0.21569797488496859
84.0,0x53a63ac301D6410915385294527f947aFf616599,100.0,1.0,0x6f9F0c4ad9Af7EbD61Ac5A1D4e0F2227F7B0E5f9,ERA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,48.66K,82.72,3202.72K,3059.63K,3204.29K,55.22K,0.17,19.68,0.2,3061.19K,5.55,554.98,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
85.0,0x007EC643C7Cc33a70C083fC305c283dd009C8b94,100.0,1.0,0x3019BF2a2eF8040C242C9a4c5c4BD4C81678b2A1,GMT,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,3492.86K,5.94K,7630.06K,6601.66K,7557.6K,3507.14K,0.17,688.13,6.88,6529.99K,2.99,299.36,FTX,Perpetual,GMT,GMT-PERP,0.76825,1970-01-19 19:58:37,-6.5e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-7194143.23628894,-0.9605788652165168
86.0,0xbDF0aA1D1985Caa357A6aC6661D838DA8691c569,50.0,1.0,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0x95EE03e1e2C5c4877f9A298F1C0D6c98698FAB7B,DUET,0.0,0.0,441.39K,436.16K,445.25K,0.0,0.17,688.13,6.88,439.89K,7.83,782.65,FTX,Perpetual,CAKE,CAKE-PERP,3.0525,1970-01-19 19:58:37,-3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
87.0,0x8CA3fF14A52b080C54A6d1a405eecA02959d39fE,10.0,1.0,0x965F527D9159dCe6288a2219DB51fc6Eef120dD1,BSW,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,54.65K,92.91,537.19K,521.69K,545.89K,54.84K,0.17,60.44,0.6,530.23K,1.47,147.29,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
88.0,0x1CCc3cC95c8148477Afd18a552f03835Be9D182a,50.0,1.0,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0xe369fec23380f9F14ffD07a1DC4b7c1a9fdD81c9,Froyo,0.0,0.0,683.06K,681.18K,690.68K,0.0,0.17,60.44,0.6,688.78K,6.67,667.31,FTX,Perpetual,CAKE,CAKE-PERP,3.0525,1970-01-19 19:58:37,-3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
89.0,0x58d4B61983Ca0aFE6E352e90719F403E24e016F4,10.0,1.0,0x93D8d25E3C9A847a5Da79F79ecaC89461FEcA846,GMI,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,172.67K,107.77K,181.88K,17.52K,0.17,60.44,0.6,113.56K,2.02,202.4,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
90.0,0x5ca96E8bDe0Bc587DaC9e02422Fd205b1102DAa4,10.0,1.0,0x6a0b66710567b6beb81A71F7e9466450a91a384b,PEX,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,23.3K,39.61,1270.34K,1254.88K,1272.43K,24.54K,0.17,17.45,0.17,1256.77K,1.0,99.87,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
91.0,0x0d5b9A0f4315a4bcE36D1Ea7d6B6d3123167aFAa,50.0,1.0,0x05aD6E30A855BE07AfA57e08a4f30d00810a402e,TINC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,45.81K,77.87,1962.13K,1951.98K,1946.44K,45.7K,0.17,26.29,0.26,1936.4K,3.84,383.8,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
92.0,0x046A9B3A9b743340eE2Bc4C6dDD35543E237C6c2,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xe0F94Ac5462997D2BC57287Ac3a3aE4C31345D66,CEEK,267.14K,452.86,1178.55K,1088.63K,1196.15K,133.57K,0.17,207.87,2.08,1104.92K,5.35,535.4,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
93.0,0x008604A38cD589680F7B8f085DC2D5B4F81151dB,0.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xF5d8A096CcCb31b9D7bcE5afE812BE23e3D4690d,HAPPY,85.61K,145.71,92.58K,12.31K,93.29K,42.8K,0.17,133.37,1.33,12.51K,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
94.0,0xee456d906a38e10680c9d157FFf143390e9681bA,0.0,1.0,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,0xFa40d8FC324bcdD6Bbae0e086De886c571C225d4,WZRD,90.13K,152.86,115.3K,32.53K,116.42K,89.22K,0.17,137.05,1.37,32.83K,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
